# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 2.655000 4.950000 27.912000 1.327500 0.151333 0.279333 -nan -nan -nan
74753 10 27.261000 125.424000 370.603000 1.327500 10.888111 10.886889 3.652945 0.000107 0.746642
75777 10 27.041000 125.896000 369.803000 1.327500 11.043667 10.962778 3.673662 0.000107 0.747215
76801 10 27.441000 125.864000 373.199000 1.327500 10.976556 10.908111 3.697022 0.000106 0.749479
77825 10 27.622000 127.328000 376.415000 1.327500 11.132778 11.050667 3.718042 0.000105 0.750461
78849 10 28.183000 128.089000 381.703000 1.327500 11.097000 11.079556 3.739845 0.000104 0.752026
79873 10 28.032000 128.611000 380.733000 1.327500 11.157000 11.139556 3.761072 0.000103 0.753368
80897 10 28.262000 130.022000 384.078000 1.327500 11.273111 11.243222 3.780387 0.000102 0.753747
81921 10 28.463000 130.524000 387.405000 1.327500 11.419444 11.314556 3.800236 0.000102 0.754538
82945 10 28.692000 131.395000 390.260000 1.327500 11.482222 11.365667 3.819673 0.000101 0.755213
83969 10 28.994000 132.788000 393.497000 1.327500 11.506333 11.454667 3.837552 0.000100 0.755161
84993 10 29.275000 133.770000 396.933000 1.327500 11.575889 11.587111 3.854960 0.000100 0.754977
86017 10 29.275000 134.080000 397.774000 1.327500 11.669333 11.628222 3.872903 0.000099 0.755180
87041 10 29.735000 135.122000 403.094000 1.327500 11.749333 11.755222 3.890651 0.000098 0.755384
88065 10 29.595000 136.345000 402.072000 1.327500 11.791333 11.755222 3.906277 0.000098 0.754622
89089 10 29.925000 136.706000 406.320000 1.327500 11.896667 11.867778 3.923161 0.000097 0.754584
90113 10 30.106000 137.607000 408.614000 1.327500 11.950444 11.931222 3.939543 0.000097 0.754388
91137 10 30.046000 138.448000 408.675000 1.327500 12.023889 12.011222 3.955013 0.000096 0.753833
92161 10 30.447000 138.849000 413.043000 1.327500 12.063667 12.039111 3.971746 0.000096 0.754015
93185 10 30.536000 140.443000 414.927000 1.327500 12.174111 12.156111 3.986133 0.000095 0.753123
94209 10 30.807000 140.953000 418.523000 1.327500 12.272556 12.223889 4.001239 0.000095 0.752663
95233 10 31.107000 142.537000 421.921000 1.327500 12.316778 12.315222 4.014619 0.000094 0.751489
96257 10 30.927000 142.596000 421.540000 1.327500 12.474444 12.383222 4.028736 0.000094 0.750734
97281 10 31.489000 143.839000 427.509000 1.327500 12.513222 12.480000 4.042547 0.000094 0.749919
98305 10 31.519000 144.902000 429.244000 1.327500 12.672667 12.536778 4.055279 0.000093 0.748703
99329 10 31.608000 145.361000 430.447000 1.327500 12.707444 12.634556 4.068446 0.000093 0.747759
100353 10 31.810000 146.242000 432.470000 1.327500 12.707778 12.674778 4.081342 0.000092 0.746770
101377 10 31.898000 147.446000 435.144000 1.327500 12.907111 12.770556 4.093033 0.000092 0.745341
102401 10 32.120000 147.876000 436.847000 1.327500 12.849667 12.850667 4.105522 0.000092 0.744325
103425 10 32.441000 149.350000 441.707000 1.327500 13.033000 12.949667 4.116756 0.000091 0.742851
104449 10 32.491000 149.919000 442.277000 1.327500 13.040778 13.026556 4.128130 0.000091 0.741504
105473 10 32.610000 150.953000 444.722000 1.327500 13.180222 13.136778 4.138806 0.000091 0.739944
106497 10 32.961000 152.124000 449.000000 1.327500 13.265556 13.223556 4.149015 0.000090 0.738271
107521 10 32.881000 152.956000 448.669000 1.327500 13.317667 13.320444 4.158588 0.000090 0.736428
108545 10 33.001000 153.357000 450.783000 1.327500 13.419222 13.309333 4.168830 0.000090 0.734898
109569 10 33.602000 154.730000 457.357000 1.327500 13.481889 13.431667 4.178717 0.000090 0.733293
110593 10 33.402000 156.141000 457.265000 1.327500 13.693889 13.588778 4.186600 0.000089 0.731061
111617 10 33.992000 156.953000 462.967000 1.327500 13.671889 13.618778 4.195311 0.000089 0.729155
112641 10 33.673000 157.494000 460.572000 1.327500 13.760222 13.682222 4.203560 0.000089 0.727150
113665 10 33.933000 158.606000 464.529000 1.327500 13.911000 13.806778 4.211382 0.000089 0.725063
114689 10 34.244000 159.037000 467.876000 1.327500 13.937333 13.859222 4.220199 0.000088 0.723364
