# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn312.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.997916 
# Number of iterations (recorded+unrecorded): 1017428232 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
428977077.61	2185.88
429977013.19	2354.87
430976957.76	2685.86
431976942.34	2865.85
432976907.91	1463.92
433976921.48	3037.84
434976717.06	2265.88
435976742.63	1473.92
436976757.21	1452.92
437976550.79	1474.92
438976607.36	1443.92
439976611.93	1463.92
440976467.51	1462.92
441976442.08	1492.92
442976346.66	1443.92
443976282.24	1471.92
444976306.81	3085.84
445976151.39	2605.86
446976156.96	3466.81
447976101.53	4488.76
448976046.11	5260.72
449975991.68	4809.74
450975976.26	3607.81
451975870.83	5911.68
452975816.41	5259.72
453975759.98	3938.79
454975674.56	5882.69
455975731.13	6512.65
456975755.70	4298.77
457975630.28	5381.71
458975505.86	4719.75
459975439.43	5541.70
460975345.01	5310.72
461975350.58	5108.73
462975295.16	6011.68
463975239.73	5621.70
464975205.30	4909.74
465975159.88	5410.71
466975084.46	6142.67
467975110.03	4599.75
468975024.60	4098.78
469974939.18	4439.76
470974874.75	4648.75
471974859.33	5340.71
472974763.90	5270.72
473974709.48	4598.75
474974654.05	5189.72
475974557.63	5452.71
476974554.20	4699.75
477974418.78	3767.80
478974493.35	5220.72
479974457.92	5772.69
480974453.50	4237.77
481974319.08	4338.77
482974152.66	3267.83
483974228.22	3407.82
484394691.76	2433.87
484974182.80	387915.27
485974108.38	3526.81
486974112.95	4138.78
487973916.53	5111.73
488973883.10	5380.71
489974088.66	3707.80
490973752.25	3798.80
491973697.83	5410.71
492973632.40	4598.75
493973737.97	4478.76
494973562.55	4158.78
495973497.13	5581.70
496973391.71	4859.74
497973487.27	5009.73
498973371.85	5310.72
499973376.42	4428.76
500973301.00	4318.77
501973296.57	3827.80
502973081.15	5069.73
502978189.88	2786.85
503973085.73	6191.67
504973070.30	4769.75
505972924.88	5611.70
506972900.45	7143.62
507972796.03	6291.66
508972819.60	4559.76
509972705.18	5009.73
510972690.75	4909.74
511972585.33	4858.74
512972579.90	4398.76
513972615.47	5940.68
514972620.04	4889.74
515972374.63	6121.67
516972400.20	4409.76
517972294.78	4388.77
518972339.35	5550.70
519972243.92	5442.71
520972180.50	5008.73
521972164.07	3757.80
522972058.65	5010.73
523972105.22	4358.77
524971998.80	4969.73
525971944.37	5269.72
526971889.95	5058.73
527971763.52	5500.71
528971818.09	4350.77
529971653.67	4519.76
530971668.25	4218.77
531971693.82	4429.76
532971798.38	4510.76
533971422.97	4418.76
534971639.54	4217.77
535971403.12	4188.78
536971287.70	6222.67
537971474.26	4308.77
538971267.84	3497.81
539971223.42	3857.79
540971238.99	3697.80
541971073.57	4388.77
542970928.15	4188.78
543971122.71	4138.78
544970938.29	4648.75
545970961.86	3548.81
546970777.45	3777.80
547970702.02	3827.80
548970676.59	3738.80
549970702.17	4329.77
550970807.73	4107.78
551970641.31	4729.75
552970727.88	4027.78
553970402.47	3816.80
554970527.03	4338.77
555970542.61	3746.80
556970247.19	4467.76
557970191.77	3797.80
558970115.34	4460.76
559970210.91	4670.75
560970086.49	5521.70
561970010.07	3828.80
562969966.64	3657.80
563969940.21	3517.81
564969936.79	4949.74
565969770.37	3968.79
566970026.93	3856.79
567969750.51	4338.77
568969586.09	3897.79
569969660.66	3016.84
570969464.24	3136.83
571969550.81	4248.77
572969455.39	3827.80
573969419.96	3417.82
574969265.54	3766.80
575969329.11	3999.79
576969214.69	3487.81
577969079.27	3006.84
578969033.84	3408.82
579969059.41	3647.81
580969014.99	3916.79
581968928.56	3768.80
582968793.14	4289.77
583968879.71	3977.79
584454349.77	2155.88
584968834.29	453362.78
585968638.87	2835.85
586968753.43	3878.79
587968639.01	4168.78
588968633.58	3827.80
589968608.16	3166.83
590968533.73	3125.83
591968418.31	3486.81
592968363.89	3376.82
593968358.46	3377.82
594968194.04	3605.81
595968257.61	538478.23
596506774.84	1594.91
596968163.18	5700.70
597968077.76	3748.80
598967983.34	3897.79
599967997.91	3596.81
600967882.49	2855.85
601967817.06	3167.83
602967761.64	3408.82
603967777.21	2906.84
604967772.78	3696.80
605967597.36	3427.82
606967592.94	3565.81
607967597.51	3557.81
608967432.09	3106.83
609967417.66	4287.77
610967352.24	2955.84
611967345.81	3828.80
612967361.38	5671.70
613967246.96	3607.81
614967272.53	3125.83
615967197.10	4058.78
616967021.69	4388.77
617967066.26	4037.78
618967011.83	4007.79
619966836.41	3016.84
620966759.99	4610.75
621966816.56	3436.82
622966661.14	3226.83
623966665.71	3928.79
624966650.28	3828.80
625966584.86	3197.83
626966551.43	3596.81
627966405.01	3567.81
628966359.59	3427.82
629966385.16	2896.85
630966390.73	3466.81
631966254.31	4309.77
632966198.88	2977.84
633966074.46	5199.72
634966180.03	3497.81
635966085.60	3465.81
636965990.18	4036.78
637965984.75	2795.85
638965900.33	3485.81
639965803.91	3466.81
640965889.47	3226.83
641965714.06	3757.80
642965769.62	4207.78
643965594.21	3437.82
644965487.78	3707.80
645965473.36	3668.80
646965388.93	2985.84
647965463.50	3547.81
648965249.08	4337.77
649965372.65	4038.78
650965228.23	3246.83
651965584.78	3886.79
652965098.38	4188.78
653965072.95	2935.84
