# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 4.790000 6.799000 48.892000 2.395000 0.110222 0.250000 -nan -nan -nan
51201 10 24.391000 123.634000 344.190000 2.395000 11.142222 11.108889 1.546552 0.000196 1.222340
52225 10 24.269000 124.852000 341.929000 2.395000 11.026556 10.968556 1.567632 0.000194 1.212633
53249 10 24.029000 123.734000 339.539000 2.395000 11.027667 10.947667 1.597358 0.000193 1.205936
54273 10 24.351000 123.863000 343.909000 2.395000 11.155444 11.047889 1.632077 0.000191 1.201606
55297 10 24.519000 123.902000 343.609000 2.395000 10.935444 10.829667 1.670952 0.000188 1.199576
56321 10 24.350000 122.174000 342.788000 2.395000 11.032000 10.944444 1.718857 0.000186 1.202860
57345 10 24.499000 123.084000 342.939000 2.395000 10.883222 10.766444 1.766209 0.000183 1.206179
58369 10 24.870000 123.112000 349.320000 2.395000 11.180000 11.028778 1.816996 0.000181 1.212020
59393 10 25.079000 125.442000 350.500000 2.395000 11.078889 10.992000 1.861977 0.000178 1.214571
60417 10 25.181000 125.253000 353.459000 2.395000 11.294333 11.165556 1.910134 0.000176 1.219410
61441 10 24.950000 125.863000 348.789000 2.395000 11.032111 10.952222 1.957164 0.000174 1.223847
62465 10 25.350000 123.353000 354.309000 2.395000 11.201000 11.109889 2.015905 0.000171 1.236901
63489 10 25.690000 126.144000 355.949000 2.395000 11.005444 10.937778 2.067165 0.000168 1.244577
64513 10 25.949000 125.133000 361.159000 2.395000 11.296556 11.210000 2.123873 0.000166 1.256502
65537 10 26.189000 129.013000 365.000000 2.395000 11.456667 11.379889 2.169440 0.000163 1.260810
66561 10 26.381000 128.684000 366.839000 2.395000 11.447667 11.396667 2.218169 0.000161 1.267460
67585 10 26.681000 130.463000 370.209000 2.395000 11.488778 11.438889 2.263380 0.000159 1.272048
68609 10 26.760000 130.013000 371.540000 2.395000 11.548889 11.517778 2.311593 0.000157 1.278876
69633 10 26.350000 129.803000 367.449000 2.395000 11.549889 11.514333 2.360248 0.000155 1.286239
70657 10 26.560000 130.824000 370.020000 2.395000 11.602222 11.575444 2.407392 0.000153 1.292782
71681 10 27.060000 131.483000 375.580000 2.395000 11.664444 11.662111 2.455049 0.000151 1.299898
72705 10 26.930000 131.603000 374.560000 2.395000 11.695556 11.717667 2.502853 0.000149 1.307327
73729 10 26.821000 131.274000 373.231000 2.395000 11.669000 11.682333 2.552113 0.000147 1.315992
74753 10 27.030000 132.352000 376.490000 2.395000 11.798889 11.831111 2.599521 0.000145 1.323514
75777 10 27.210000 133.833000 378.289000 2.395000 11.798778 11.927778 2.643942 0.000143 1.329186
76801 10 27.411000 134.763000 381.050000 2.395000 11.882222 11.986667 2.687167 0.000141 1.334278
77825 10 26.731000 132.864000 373.320000 2.395000 11.778889 11.839000 2.734649 0.000140 1.342496
78849 10 26.970000 134.464000 377.981000 2.395000 12.031222 12.051000 2.778953 0.000138 1.348661
79873 10 27.260000 133.703000 378.849000 2.395000 11.805444 11.915556 2.826801 0.000136 1.357516
80897 10 27.360000 133.954000 380.789000 2.395000 11.909889 12.004556 2.874676 0.000134 1.366540
81921 10 27.131000 133.293000 376.860000 2.395000 11.727778 11.824444 2.924072 0.000132 1.376853
82945 10 27.281000 134.043000 379.889000 2.395000 11.897667 11.961222 2.972141 0.000131 1.386285
83969 10 27.321000 132.894000 377.589000 2.395000 11.597667 11.706778 3.023556 0.000129 1.398442
84993 10 27.280000 133.253000 379.231000 2.395000 11.825667 11.874444 3.073984 0.000127 1.409900
86017 10 26.901000 131.343000 372.929000 2.395000 11.546556 11.568000 3.128323 0.000125 1.424662
87041 10 27.360000 133.864000 380.809000 2.395000 11.912111 11.918889 3.177300 0.000123 1.435112
88065 10 27.500000 132.492000 379.480000 2.395000 11.608889 11.659000 3.230055 0.000122 1.448695
89089 10 27.240000 133.123000 379.220000 2.395000 11.868889 11.846667 3.280433 0.000120 1.460399
90113 10 27.260000 132.203000 376.679000 2.395000 11.564333 11.535667 3.332972 0.000118 1.473944
91137 10 27.429000 133.283000 380.180000 2.395000 11.765556 11.642000 3.383072 0.000116 1.485559
92161 10 27.541000 130.293000 378.500000 2.395000 11.454444 11.393444 3.440336 0.000115 1.503351
