# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn449.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.998343 
# Number of iterations (recorded+unrecorded): 1022762237 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
693970484.19	5640.76
694970494.70	6001.74
695970504.21	5681.76
696970374.73	5320.77
697970255.24	6272.73
698970255.75	4839.79
699970276.26	4417.81
700970145.78	4108.83
701970066.29	4889.79
702970096.80	4948.79
703970057.31	4809.80
703990274.45	2234.91
704053428.77	1633.93
704970037.82	15858.33
705969987.34	6202.74
706969936.85	5251.78
707969878.36	6622.72
708970068.86	4559.81
709969839.38	5590.76
710969769.89	5520.77
711969810.40	5510.77
712969739.92	6012.74
713969840.42	6873.71
714969630.94	9007.62
715969581.45	6492.72
716969500.97	4949.79
717969521.48	6012.74
718969401.99	5881.75
719969342.50	5380.77
720969423.01	6111.74
721969423.52	6372.73
722969344.03	6963.70
723969283.55	5972.75
724969134.06	4268.82
725969084.57	7523.68
726969055.08	5590.76
727969015.60	4879.79
728969106.10	3566.85
729969015.62	7234.69
730968846.13	6281.73
731968896.64	6292.73
732968767.16	4037.83
733968817.66	6281.73
734968677.18	6102.74
735968646.69	6894.71
736968598.20	4258.82
737968728.71	6983.70
738968629.22	6021.74
739968599.73	4909.79
740968539.25	3918.83
741968469.76	6202.74
742968430.27	4589.80
743968370.78	4026.83
744968371.29	6011.74
745968320.81	6643.72
746968301.32	4359.81
747968201.83	6262.73
748968172.34	5320.77
749968062.86	6432.73
749974534.58	2204.91
750968113.36	5049.79
751967962.88	6292.73
752967973.39	5309.77
753967983.90	5140.78
754967824.42	6312.73
755968034.92	5210.78
756967754.44	4639.80
757967754.95	6162.74
758967835.46	4729.80
